product_id,product_name,brand,price,original_price,discount_percentage,discount_amount,rating,ratings_count,reviews_count,display_size,display_type,screen_resolution,battery_life,battery_capacity,water_resistance,bluetooth_version,compatibility,heart_rate_monitor,blood_oxygen_monitor,sleep_tracker,sports_modes,gps,bluetooth_calling,strap_material,strap_color,weight,warranty,availability,scraped_at,touch_screen,charging_time,stress_monitor,step_counter,calorie_tracker,nfc_payments,music_control,camera_control,voice_assistant,notifications,reminders,case_material,dimensions,in_the_box,launch_date,source
SW10010,Sonata Essence Ultra Water Resistance,Sonata,2052,3154,34,1102,4.4,16279,6707,"1.4""",TFT,418x371 pixels,20 days,268 mAh,IP68,5.0,iOS,No,Yes,Yes,80,No,No,Polycarbonate,Blue,34 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Metal,48x43x12 mm,"Smartwatch, Charging Cable, User Manual",6/2023,Flipkart
SW10011,Noise ColorFit Pro Lite Notification Alerts,Noise,3670,6318,41,2648,3.8,37750,3975,"1.3""",LCD,330x407 pixels,19 days,508 mAh,Water Resistant,5.0,Android & iOS,Yes,Yes,Yes,90,No,No,Metal,Gold,65 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Plastic,47x35x13 mm,"Smartwatch, Charging Cable, User Manual",4/2022,Flipkart
SW10012,CrossBeats Elevate Heart Rate Monitor,CrossBeats,7425,10713,30,3288,4.2,4003,5969,"1.2""",TFT,398x379 pixels,18 days,439 mAh,Water Resistant,5.0,iOS,Yes,No,Yes,96,No,No,Leather,Red,78 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Metal,48x42x14 mm,"Smartwatch, Charging Cable, User Manual",3/2024,Flipkart
SW10013,boAt Storm Ultra GPS Navigation,boAt,8087,11914,32,3827,3.9,24359,1224,"1.8""",OLED,399x448 pixels,12 days,341 mAh,3ATM,5.2,iOS,Yes,No,Yes,113,No,No,Nylon,Gold,49 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Plastic,48x38x10 mm,"Smartwatch, Charging Cable, User Manual",5/2022,Flipkart
SW10014,OnePlus Band 3 AMOLED Display,OnePlus,5508,9764,43,4256,4.4,48911,15118,"1.2""",LCD,372x336 pixels,17 days,588 mAh,IP68,5.0,iOS,Yes,Yes,Yes,90,No,No,Silicone,Gold,62 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Plastic,44x36x13 mm,"Smartwatch, Charging Cable, User Manual",1/2023,Flipkart
SW10015,Garmin Fenix Plus Weather Display,Garmin,47412,78549,39,31137,4.4,29918,2251,"2.0""",AMOLED,398x333 pixels,5 days,337 mAh,IP68,5.3,Android & iOS,Yes,Yes,Yes,103,Yes,Yes,Polycarbonate,Pink,63 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,3 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Metal,41x35x10 mm,"Smartwatch, Charging Cable, User Manual",4/2023,Flipkart
SW10016,Amazfit Bip Pro Female Health Tracking,Amazfit,5919,10630,44,4711,3.9,21887,18493,"1.3""",LCD,368x343 pixels,9 days,312 mAh,IP68,5.0,Android & iOS,No,Yes,Yes,70,No,No,Metal,Green,54 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber,48x40x15 mm,"Smartwatch, Charging Cable, User Manual",5/2023,Flipkart
SW10017,Fire-Boltt Phonism Music Control,Fire-Boltt,6961,12506,44,5545,3.8,28567,15422,"1.4""",LCD,443x443 pixels,18 days,247 mAh,5ATM,5.0,Android & iOS,No,No,Yes,63,No,No,Leather,Red,47 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Metal,44x44x14 mm,"Smartwatch, Charging Cable, User Manual",8/2023,Flipkart
SW10018,Xiaomi Mi Band 4 Female Health Tracking,Xiaomi,4265,7039,39,2774,4.4,39421,397,"1.2""",TFT,414x335 pixels,9 days,456 mAh,IP67,5.0,Android & iOS,Yes,No,Yes,63,No,Yes,Leather,Brown,79 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber,47x40x14 mm,"Smartwatch, Charging Cable, User Manual",4/2023,Flipkart
SW10019,CrossBeats Elevate Pro Weather Display,CrossBeats,6471,10429,37,3958,4.5,4121,8646,"1.3""",TFT,428x382 pixels,7 days,448 mAh,Water Resistant,5.0,Android,No,Yes,Yes,76,No,No,Metal,Red,65 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber,41x44x11 mm,"Smartwatch, Charging Cable, User Manual",2/2023,Flipkart
SW10020,Fastrack Reflex Heart Rate Monitor,Fastrack,4944,7263,31,2319,4.8,3609,201,"1.3""",TFT,320x446 pixels,16 days,209 mAh,Water Resistant,5.0,Android,Yes,No,Yes,87,No,No,Silicone,Gold,58 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber,49x42x13 mm,"Smartwatch, Charging Cable, User Manual",8/2023,Flipkart
SW10021,Titan Smart Lite Stress Monitoring,Titan,4517,5921,23,1404,4.4,18875,6374,"1.4""",TFT,334x336 pixels,15 days,347 mAh,IP67,5.0,Android,No,Yes,Yes,74,No,No,Metal,Green,71 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Metal,48x39x13 mm,"Smartwatch, Charging Cable, User Manual",7/2024,Flipkart
SW10022,Realme Watch Notification Alerts,Realme,4360,5427,19,1067,4.0,44073,7861,"1.2""",LCD,386x334 pixels,16 days,450 mAh,IP68,5.0,iOS,Yes,Yes,Yes,55,No,Yes,Polycarbonate,Green,50 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Plastic,48x36x14 mm,"Smartwatch, Charging Cable, User Manual",5/2023,Flipkart
SW10023,Garmin Forerunner Pro Heart Rate Monitor,Garmin,22006,39289,43,17283,4.4,37982,9517,"2.2""",AMOLED,444x333 pixels,4 days,557 mAh,Water Resistant,5.3,iOS,Yes,Yes,Yes,185,Yes,Yes,Silicone,Purple,36 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Metal,40x44x15 mm,"Smartwatch, Charging Cable, User Manual",9/2023,Flipkart
SW10024,OnePlus Band 2 Weather Display,OnePlus,9577,16417,41,6840,4.7,27809,10988,"1.6""",AMOLED,340x336 pixels,7 days,433 mAh,3ATM,5.2,Android,Yes,No,Yes,104,Yes,No,Polycarbonate,Gold,55 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Metal,49x43x13 mm,"Smartwatch, Charging Cable, User Manual",9/2023,Flipkart
SW10025,Boult Bolt Plus Sports Modes,Boult,5008,7967,37,2959,4.4,22035,14268,"1.2""",LCD,325x413 pixels,20 days,384 mAh,IP67,5.0,Android & iOS,No,Yes,Yes,60,No,No,Nylon,Blue,48 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Plastic,42x37x13 mm,"Smartwatch, Charging Cable, User Manual",6/2023,Flipkart
SW10026,Xiaomi Redmi Watch Lite Sleep Tracking,Xiaomi,4731,6080,22,1349,4.1,7206,1688,"1.2""",LCD,380x388 pixels,16 days,389 mAh,IP67,5.0,Android,No,No,Yes,82,No,No,TPU,Pink,32 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Plastic,47x36x11 mm,"Smartwatch, Charging Cable, User Manual",3/2023,Flipkart
SW10027,Fastrack Revolt Pro AMOLED Display,Fastrack,3673,4482,18,809,4.4,12531,11340,"1.4""",TFT,430x337 pixels,15 days,362 mAh,5ATM,5.0,Android & iOS,No,No,Yes,75,No,No,Nylon,Brown,59 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber,50x40x13 mm,"Smartwatch, Charging Cable, User Manual",4/2023,Flipkart
SW10028,Sonata Essence 3 Weather Display,Sonata,3633,6142,40,2509,3.9,24392,16129,"1.4""",TFT,433x446 pixels,10 days,454 mAh,5ATM,5.0,Android,Yes,No,Yes,90,No,Yes,Silicone,Brown,57 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Metal,45x36x14 mm,"Smartwatch, Charging Cable, User Manual",5/2022,Flipkart
SW10029,Fastrack Reflex Max Voice Assistant,Fastrack,5422,9469,42,4047,4.6,11195,2048,"1.3""",TFT,405x372 pixels,10 days,298 mAh,IP68,5.0,iOS,Yes,Yes,Yes,53,No,No,Silicone,Red,32 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Plastic,48x38x13 mm,"Smartwatch, Charging Cable, User Manual",11/2022,Flipkart
SW10030,Samsung Gear Sport Lite Voice Assistant,Samsung,13200,17800,25,4600,4.1,15569,4022,"1.8""",OLED,336x355 pixels,10 days,402 mAh,IP68,5.2,Android,Yes,Yes,Yes,105,No,No,Nylon,Purple,45 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,3 hours,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Plastic,41x44x14 mm,"Smartwatch, Charging Cable, User Manual",9/2022,Flipkart
SW10031,Titan Juxt 3 Water Resistance,Titan,5225,8129,35,2904,4.1,33250,2562,"1.2""",LCD,382x412 pixels,15 days,212 mAh,IP67,5.0,Android & iOS,Yes,Yes,Yes,81,No,No,Nylon,Gold,33 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Metal,40x45x13 mm,"Smartwatch, Charging Cable, User Manual",7/2024,Flipkart
SW10032,Samsung Galaxy Watch 3 Weather Display,Samsung,11652,17578,33,5926,4.2,9610,10401,"1.6""",OLED,411x354 pixels,10 days,557 mAh,5ATM,5.2,Android & iOS,Yes,Yes,Yes,108,No,No,Polycarbonate,Purple,62 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Plastic,45x41x15 mm,"Smartwatch, Charging Cable, User Manual",1/2023,Flipkart
SW10033,boAt Xtend Ultra SpO2 Monitor,boAt,8811,13619,35,4808,4.0,4604,10590,"1.8""",OLED,381x343 pixels,14 days,418 mAh,Water Resistant,5.2,Android,Yes,Yes,Yes,112,No,Yes,Silicone,Silver,53 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Plastic,48x39x10 mm,"Smartwatch, Charging Cable, User Manual",8/2024,Flipkart
SW10034,Ambrane Stride Plus Voice Assistant,Ambrane,1319,2183,39,864,4.1,19260,243,"1.4""",TFT,374x359 pixels,13 days,442 mAh,IP67,5.0,Android,No,No,Yes,80,No,No,Metal,Purple,70 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber,47x42x15 mm,"Smartwatch, Charging Cable, User Manual",2/2022,Flipkart
SW10035,Amazfit Band Ultra Bluetooth Calling,Amazfit,7559,12563,39,5004,4.3,25706,19874,"1.2""",TFT,425x331 pixels,11 days,281 mAh,3ATM,5.0,Android & iOS,No,Yes,Yes,57,No,Yes,Nylon,Brown,44 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber,43x36x10 mm,"Smartwatch, Charging Cable, User Manual",5/2024,Flipkart
SW10036,Xiaomi Redmi Watch Lite AMOLED Display,Xiaomi,4553,5829,21,1276,4.1,36226,10371,"1.2""",LCD,324x409 pixels,12 days,541 mAh,IP67,5.0,iOS,No,No,Yes,72,No,No,Polycarbonate,Gold,68 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Plastic,48x35x15 mm,"Smartwatch, Charging Cable, User Manual",8/2022,Flipkart
SW10037,Amazfit Band Pro Heart Rate Monitor,Amazfit,12241,14540,15,2299,4.3,41673,8984,"1.8""",AMOLED,441x399 pixels,10 days,330 mAh,5ATM,5.2,Android & iOS,Yes,No,Yes,83,Yes,Yes,Leather,Red,47 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber,48x45x14 mm,"Smartwatch, Charging Cable, User Manual",8/2023,Flipkart
SW10038,Amazfit GTR Plus GPS Navigation,Amazfit,13048,16984,23,3936,4.6,31745,16295,"1.8""",AMOLED,437x411 pixels,9 days,476 mAh,IP67,5.2,iOS,Yes,Yes,Yes,99,Yes,No,TPU,Blue,31 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber,43x42x13 mm,"Smartwatch, Charging Cable, User Manual",1/2023,Flipkart
SW10039,Realme Watch Pro Voice Assistant,Realme,3028,4893,38,1865,4.2,44855,9857,"1.4""",LCD,429x394 pixels,20 days,294 mAh,IP68,5.0,Android,No,No,Yes,97,No,No,Polycarbonate,Silver,50 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Metal,42x38x11 mm,"Smartwatch, Charging Cable, User Manual",8/2023,Flipkart
SW10040,Xiaomi Redmi Watch 2 Bluetooth Calling,Xiaomi,3604,4546,20,942,4.4,20689,16088,"1.3""",LCD,365x391 pixels,18 days,343 mAh,Water Resistant,5.0,Android & iOS,No,No,Yes,50,No,Yes,Leather,Pink,33 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Metal,40x37x14 mm,"Smartwatch, Charging Cable, User Manual",3/2023,Flipkart
SW10041,Sonata Essence Plus Stress Monitoring,Sonata,1962,2416,18,454,4.5,17743,14533,"1.2""",TFT,342x377 pixels,8 days,404 mAh,Water Resistant,5.0,Android & iOS,No,Yes,Yes,76,No,Yes,Polycarbonate,Black,61 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Plastic,44x45x15 mm,"Smartwatch, Charging Cable, User Manual",1/2024,Flipkart
SW10042,Garmin Venu 3 Sleep Tracking,Garmin,15250,21734,29,6484,4.4,2511,15948,"1.6""",OLED,356x336 pixels,8 days,288 mAh,IP68,5.2,iOS,Yes,Yes,Yes,115,No,No,TPU,Gold,61 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Metal,42x36x12 mm,"Smartwatch, Charging Cable, User Manual",10/2023,Flipkart
SW10043,Boult Drift 4 AMOLED Display,Boult,5725,7833,26,2108,3.9,31427,17715,"1.4""",LCD,438x442 pixels,9 days,335 mAh,IP68,5.0,Android,Yes,Yes,Yes,52,No,No,Nylon,Red,45 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Metal,44x40x13 mm,"Smartwatch, Charging Cable, User Manual",12/2023,Flipkart
SW10044,boAt Flash Plus Voice Assistant,boAt,4251,5408,21,1157,4.1,5604,19965,"1.3""",TFT,446x355 pixels,18 days,292 mAh,5ATM,5.0,Android,No,Yes,Yes,87,No,No,TPU,Purple,37 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Metal,46x38x15 mm,"Smartwatch, Charging Cable, User Manual",5/2022,Flipkart
SW10045,Ambrane Stride Pro AMOLED Display,Ambrane,2724,3454,21,730,4.7,1461,8416,"1.3""",TFT,382x409 pixels,14 days,329 mAh,IP67,5.0,Android,No,No,Yes,92,No,Yes,Metal,Gold,43 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber,49x42x13 mm,"Smartwatch, Charging Cable, User Manual",3/2022,Flipkart
SW10046,Amazfit GTR Ultra Weather Display,Amazfit,10290,15540,33,5250,3.8,27721,19995,"1.6""",AMOLED,425x359 pixels,11 days,490 mAh,IP68,5.2,iOS,Yes,Yes,Yes,114,Yes,No,Silicone,Pink,71 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,3 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber,49x41x10 mm,"Smartwatch, Charging Cable, User Manual",3/2022,Flipkart
SW10047,Sonata Smart Lite Bluetooth Calling,Sonata,2164,2607,16,443,3.9,35265,5403,"1.2""",LCD,411x324 pixels,16 days,400 mAh,IP68,5.0,iOS,Yes,Yes,Yes,94,No,No,Silicone,Gold,69 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Metal,50x44x13 mm,"Smartwatch, Charging Cable, User Manual",5/2023,Flipkart
SW10048,Noise ColorFit Icon Ultra Sports Modes,Noise,2086,2607,19,521,4.5,47785,10416,"1.2""",TFT,415x368 pixels,12 days,237 mAh,3ATM,5.0,Android,Yes,No,Yes,77,No,Yes,Silicone,Purple,77 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Metal,43x41x10 mm,"Smartwatch, Charging Cable, User Manual",10/2024,Flipkart
SW10049,Realme Watch Ultra Water Resistance,Realme,2138,2468,13,330,4.0,20606,11952,"1.2""",LCD,388x329 pixels,17 days,473 mAh,5ATM,5.0,Android & iOS,Yes,No,Yes,80,No,Yes,Polycarbonate,Black,63 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber,42x42x11 mm,"Smartwatch, Charging Cable, User Manual",12/2023,Flipkart
SW10050,Samsung Gear Sport Female Health Tracking,Samsung,16619,27172,38,10553,4.5,46612,15779,"1.8""",OLED,426x339 pixels,12 days,385 mAh,IP68,5.2,Android & iOS,Yes,No,Yes,89,No,Yes,Polycarbonate,Pink,52 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Metal,44x41x10 mm,"Smartwatch, Charging Cable, User Manual",7/2024,Flipkart
SW10051,boAt Wave Plus Bluetooth Calling,boAt,6161,8961,31,2800,4.4,47231,3330,"1.2""",TFT,336x379 pixels,21 days,255 mAh,Water Resistant,5.0,iOS,Yes,No,Yes,73,No,No,Metal,Blue,52 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Plastic,43x39x13 mm,"Smartwatch, Charging Cable, User Manual",2/2024,Flipkart
SW10052,boAt Storm SpO2 Monitor,boAt,2244,3189,29,945,4.2,18230,19752,"1.4""",LCD,325x449 pixels,12 days,255 mAh,3ATM,5.0,Android & iOS,No,No,Yes,54,No,Yes,TPU,Pink,56 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber,48x41x12 mm,"Smartwatch, Charging Cable, User Manual",12/2024,Flipkart
SW10053,Titan Smart 4 Sleep Tracking,Titan,4346,7721,43,3375,4.0,44823,17226,"1.3""",LCD,368x376 pixels,9 days,435 mAh,Water Resistant,5.0,Android & iOS,No,No,Yes,87,No,No,Metal,Green,49 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,3 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Metal,50x35x13 mm,"Smartwatch, Charging Cable, User Manual",11/2024,Flipkart
SW10054,Huami Amazfit Bip 3 Bluetooth Calling,Huami,7749,11342,31,3593,4.5,3327,19800,"1.3""",TFT,330x374 pixels,11 days,561 mAh,3ATM,5.0,iOS,No,No,Yes,78,No,No,Silicone,Silver,45 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Metal,45x36x11 mm,"Smartwatch, Charging Cable, User Manual",8/2024,Flipkart
SW10055,Amazfit Bip 4 Weather Display,Amazfit,6240,9191,32,2951,4.2,18549,10609,"1.4""",LCD,329x415 pixels,19 days,281 mAh,IP67,5.0,Android,No,No,Yes,100,No,No,Polycarbonate,Gold,54 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Plastic,40x36x13 mm,"Smartwatch, Charging Cable, User Manual",8/2023,Flipkart
SW10056,Samsung Galaxy Watch Max Camera Control,Samsung,13913,20745,32,6832,4.3,48561,692,"1.8""",AMOLED,340x327 pixels,14 days,463 mAh,Water Resistant,5.2,Android,Yes,No,Yes,105,No,No,Leather,Gold,41 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Fiber,47x35x13 mm,"Smartwatch, Charging Cable, User Manual",8/2022,Flipkart
SW10057,Xiaomi Mi Band Ultra GPS Navigation,Xiaomi,4981,7306,31,2325,4.1,25095,17469,"1.3""",TFT,436x329 pixels,20 days,464 mAh,3ATM,5.0,Android,Yes,No,Yes,84,No,Yes,Silicone,Silver,76 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Metal,41x39x11 mm,"Smartwatch, Charging Cable, User Manual",8/2023,Flipkart
