product_id,product_name,brand,price,original_price,discount_percentage,discount_amount,rating,ratings_count,reviews_count,display_size,display_type,screen_resolution,battery_life,battery_capacity,water_resistance,bluetooth_version,compatibility,heart_rate_monitor,blood_oxygen_monitor,sports_modes,gps,bluetooth_calling,strap_material,strap_color,weight,warranty,availability,charging_time,stress_monitor,nfc_payments,camera_control,voice_assistant,case_material,dimensions,launch_date,battery_life_days,review_ratio
sw10010,sonata essence ultra water resistance,sonata,2052.0,3154,34,1102,4.4,16279,6707,1.4,tft,418x371 pixels,20 days,268.0,ip68,5.0,ios,False,1,80,False,False,polycarbonate,blue,34.0,1 year,out of stock,3 hours,1,0,1,1,metal,48x43x12 mm,2023-06-01,20.0,0.41200319429940413
sw10011,noise colorfit pro lite notification alerts,noise,3670.0,6318,41,2648,3.8,37750,3975,1.3,lcd,330x407 pixels,19 days,508.0,water resistant,5.0,android  ios,False,1,90,False,False,metal,gold,65.0,1 year,in stock,3 hours,1,0,1,1,plastic,47x35x13 mm,2022-04-01,19.0,0.10529801324503311
sw10012,crossbeats elevate heart rate monitor,crossbeats,7425.0,10713,30,3288,4.2,4003,5969,1.2,tft,398x379 pixels,18 days,439.0,water resistant,5.0,ios,False,0,96,False,False,leather,red,78.0,1 year,out of stock,3 hours,1,0,0,1,metal,48x42x14 mm,2024-03-01,18.0,1.4911316512615538
sw10013,boat storm ultra gps navigation,boat,8087.0,11914,32,3827,3.9,24359,1224,1.8,oled,399x448 pixels,12 days,341.0,3atm,5.2,ios,False,0,113,False,False,nylon,gold,49.0,1 year,out of stock,1 hours,0,1,0,0,plastic,48x38x10 mm,2022-05-01,12.0,0.050248368159612464
sw10014,oneplus band 3 amoled display,oneplus,5508.0,9764,43,4256,4.4,48911,15118,1.2,lcd,372x336 pixels,17 days,588.0,ip68,5.0,ios,False,1,90,False,False,silicone,gold,62.0,2 year,in stock,1 hours,1,0,0,1,plastic,44x36x13 mm,2023-01-01,17.0,0.3090920242890147
sw10015,garmin fenix plus weather display,garmin,47412.0,78549,39,31137,4.4,29918,2251,2.0,amoled,398x333 pixels,5 days,337.0,ip68,5.3,android  ios,False,1,103,False,False,polycarbonate,pink,63.0,2 year,in stock,3 hours,0,1,1,1,metal,41x35x10 mm,2023-04-01,5.0,0.07523898656327295
sw10016,amazfit bip pro female health tracking,amazfit,5919.0,10630,44,4711,3.9,21887,18493,1.3,lcd,368x343 pixels,9 days,312.0,ip68,5.0,android  ios,False,1,70,False,False,metal,green,54.0,2 year,in stock,1 hours,1,0,1,1,fiber,48x40x15 mm,2023-05-01,9.0,0.8449307808288025
sw10017,fireboltt phonism music control,fireboltt,6961.0,12506,44,5545,3.8,28567,15422,1.4,lcd,443x443 pixels,18 days,247.0,5atm,5.0,android  ios,False,0,63,False,False,leather,red,47.0,1 year,out of stock,1 hours,1,0,1,0,metal,44x44x14 mm,2023-08-01,18.0,0.5398536773199846
sw10018,xiaomi mi band 4 female health tracking,xiaomi,4265.0,7039,39,2774,4.4,39421,397,1.2,tft,414x335 pixels,9 days,456.0,ip67,5.0,android  ios,False,0,63,False,False,leather,brown,79.0,2 year,out of stock,3 hours,1,0,1,1,fiber,47x40x14 mm,2023-04-01,9.0,0.010070774460313032
sw10019,crossbeats elevate pro weather display,crossbeats,6471.0,10429,37,3958,4.5,4121,8646,1.3,tft,428x382 pixels,7 days,448.0,water resistant,5.0,android,False,1,76,False,False,metal,red,65.0,2 year,out of stock,2 hours,1,0,1,0,fiber,41x44x11 mm,2023-02-01,7.0,2.098034457655909
sw10020,fastrack reflex heart rate monitor,fastrack,4944.0,7263,31,2319,4.8,3609,201,1.3,tft,320x446 pixels,16 days,209.0,water resistant,5.0,android,False,0,87,False,False,silicone,gold,58.0,1 year,out of stock,1 hours,1,0,1,0,fiber,49x42x13 mm,2023-08-01,16.0,0.05569409808811305
sw10021,titan smart lite stress monitoring,titan,4517.0,5921,23,1404,4.4,18875,6374,1.4,tft,334x336 pixels,15 days,347.0,ip67,5.0,android,False,1,74,False,False,metal,green,71.0,1 year,in stock,2 hours,1,0,0,1,metal,48x39x13 mm,2024-07-01,15.0,0.3376953642384106
sw10022,realme watch notification alerts,realme,4360.0,5427,19,1067,4.0,44073,7861,1.2,lcd,386x334 pixels,16 days,450.0,ip68,5.0,ios,False,1,55,False,False,polycarbonate,green,50.0,2 year,in stock,1 hours,0,0,1,1,plastic,48x36x14 mm,2023-05-01,16.0,0.17836317019490391
sw10023,garmin forerunner pro heart rate monitor,garmin,22006.0,39289,43,17283,4.4,37982,9517,2.2,amoled,444x333 pixels,4 days,557.0,water resistant,5.3,ios,False,1,185,False,False,silicone,purple,36.0,1 year,in stock,2 hours,1,1,0,1,metal,40x44x15 mm,2023-09-01,4.0,0.2505660576062345
sw10024,oneplus band 2 weather display,oneplus,9577.0,16417,41,6840,4.7,27809,10988,1.6,amoled,340x336 pixels,7 days,433.0,3atm,5.2,android,False,0,104,False,False,polycarbonate,gold,55.0,2 year,out of stock,3 hours,0,0,0,0,metal,49x43x13 mm,2023-09-01,7.0,0.39512388075802796
sw10025,boult bolt plus sports modes,boult,5008.0,7967,37,2959,4.4,22035,14268,1.2,lcd,325x413 pixels,20 days,384.0,ip67,5.0,android  ios,False,1,60,False,False,nylon,blue,48.0,2 year,out of stock,3 hours,1,0,1,0,plastic,42x37x13 mm,2023-06-01,20.0,0.6475153165418652
sw10026,xiaomi redmi watch lite sleep tracking,xiaomi,4731.0,6080,22,1349,4.1,7206,1688,1.2,lcd,380x388 pixels,16 days,389.0,ip67,5.0,android,False,0,82,False,False,tpu,pink,32.0,1 year,out of stock,1 hours,1,0,1,1,plastic,47x36x11 mm,2023-03-01,16.0,0.23424923674715514
sw10027,fastrack revolt pro amoled display,fastrack,3673.0,4482,18,809,4.4,12531,11340,1.4,tft,430x337 pixels,15 days,362.0,5atm,5.0,android  ios,False,0,75,False,False,nylon,brown,59.0,2 year,in stock,1 hours,0,0,1,0,fiber,50x40x13 mm,2023-04-01,15.0,0.9049557098395978
sw10028,sonata essence 3 weather display,sonata,3633.0,6142,40,2509,3.9,24392,16129,1.4,tft,433x446 pixels,10 days,454.0,5atm,5.0,android,False,0,90,False,False,silicone,brown,57.0,2 year,in stock,1 hours,1,0,0,0,metal,45x36x14 mm,2022-05-01,10.0,0.6612413906198754
sw10029,fastrack reflex max voice assistant,fastrack,5422.0,9469,42,4047,4.6,11195,2048,1.3,tft,405x372 pixels,10 days,298.0,ip68,5.0,ios,False,1,53,False,False,silicone,red,32.0,2 year,in stock,2 hours,1,0,1,0,plastic,48x38x13 mm,2022-11-01,10.0,0.1829388119696293
sw10030,samsung gear sport lite voice assistant,samsung,13200.0,17800,25,4600,4.1,15569,4022,1.8,oled,336x355 pixels,10 days,402.0,ip68,5.2,android,False,1,105,False,False,nylon,purple,45.0,2 year,in stock,3 hours,0,1,0,1,plastic,41x44x14 mm,2022-09-01,10.0,0.2583338685850087
sw10031,titan juxt 3 water resistance,titan,5225.0,8129,35,2904,4.1,33250,2562,1.2,lcd,382x412 pixels,15 days,212.0,ip67,5.0,android  ios,False,1,81,False,False,nylon,gold,33.0,2 year,out of stock,1 hours,0,0,0,0,metal,40x45x13 mm,2024-07-01,15.0,0.07705263157894737
sw10032,samsung galaxy watch 3 weather display,samsung,11652.0,17578,33,5926,4.2,9610,10401,1.6,oled,411x354 pixels,10 days,557.0,5atm,5.2,android  ios,False,1,108,False,False,polycarbonate,purple,62.0,2 year,in stock,2 hours,1,1,1,1,plastic,45x41x15 mm,2023-01-01,10.0,1.0823100936524455
sw10033,boat xtend ultra spo2 monitor,boat,8811.0,13619,35,4808,4.0,4604,10590,1.8,oled,381x343 pixels,14 days,418.0,water resistant,5.2,android,False,1,112,False,False,silicone,silver,53.0,2 year,out of stock,3 hours,1,1,0,0,plastic,48x39x10 mm,2024-08-01,14.0,2.3001737619461338
sw10034,ambrane stride plus voice assistant,ambrane,1319.0,2183,39,864,4.1,19260,243,1.4,tft,374x359 pixels,13 days,442.0,ip67,5.0,android,False,0,80,False,False,metal,purple,70.0,2 year,in stock,2 hours,1,0,0,1,fiber,47x42x15 mm,2022-02-01,13.0,0.012616822429906542
sw10035,amazfit band ultra bluetooth calling,amazfit,7559.0,12563,39,5004,4.3,25706,19874,1.2,tft,425x331 pixels,11 days,281.0,3atm,5.0,android  ios,False,1,57,False,False,nylon,brown,44.0,2 year,in stock,2 hours,1,0,1,1,fiber,43x36x10 mm,2024-05-01,11.0,0.7731268964444099
sw10036,xiaomi redmi watch lite amoled display,xiaomi,4553.0,5829,21,1276,4.1,36226,10371,1.2,lcd,324x409 pixels,12 days,541.0,ip67,5.0,ios,False,0,72,False,False,polycarbonate,gold,68.0,1 year,out of stock,2 hours,1,0,0,0,plastic,48x35x15 mm,2022-08-01,12.0,0.2862860928614807
sw10037,amazfit band pro heart rate monitor,amazfit,12241.0,14540,15,2299,4.3,41673,8984,1.8,amoled,441x399 pixels,10 days,330.0,5atm,5.2,android  ios,False,0,83,False,False,leather,red,47.0,2 year,in stock,1 hours,1,0,0,0,fiber,48x45x14 mm,2023-08-01,10.0,0.21558323134883497
sw10038,amazfit gtr plus gps navigation,amazfit,13048.0,16984,23,3936,4.6,31745,16295,1.8,amoled,437x411 pixels,9 days,476.0,ip67,5.2,ios,False,1,99,False,False,tpu,blue,31.0,1 year,out of stock,2 hours,0,0,0,0,fiber,43x42x13 mm,2023-01-01,9.0,0.5133091825484328
sw10039,realme watch pro voice assistant,realme,3028.0,4893,38,1865,4.2,44855,9857,1.4,lcd,429x394 pixels,20 days,294.0,ip68,5.0,android,False,0,97,False,False,polycarbonate,silver,50.0,1 year,in stock,2 hours,0,0,0,0,metal,42x38x11 mm,2023-08-01,20.0,0.21975253594916955
sw10040,xiaomi redmi watch 2 bluetooth calling,xiaomi,3604.0,4546,20,942,4.4,20689,16088,1.3,lcd,365x391 pixels,18 days,343.0,water resistant,5.0,android  ios,False,0,50,False,False,leather,pink,33.0,1 year,in stock,1 hours,0,0,1,0,metal,40x37x14 mm,2023-03-01,18.0,0.7776112910242158
sw10041,sonata essence plus stress monitoring,sonata,1962.0,2416,18,454,4.5,17743,14533,1.2,tft,342x377 pixels,8 days,404.0,water resistant,5.0,android  ios,False,1,76,False,False,polycarbonate,black,61.0,2 year,in stock,1 hours,1,0,0,0,plastic,44x45x15 mm,2024-01-01,8.0,0.8190835822577918
sw10042,garmin venu 3 sleep tracking,garmin,15250.0,21734,29,6484,4.4,2511,15948,1.6,oled,356x336 pixels,8 days,288.0,ip68,5.2,ios,False,1,115,False,False,tpu,gold,61.0,2 year,out of stock,2 hours,0,1,0,1,metal,42x36x12 mm,2023-10-01,8.0,6.351254480286738
sw10043,boult drift 4 amoled display,boult,5725.0,7833,26,2108,3.9,31427,17715,1.4,lcd,438x442 pixels,9 days,335.0,ip68,5.0,android,False,1,52,False,False,nylon,red,45.0,2 year,out of stock,3 hours,1,0,1,1,metal,44x40x13 mm,2023-12-01,9.0,0.5636872752728546
sw10044,boat flash plus voice assistant,boat,4251.0,5408,21,1157,4.1,5604,19965,1.3,tft,446x355 pixels,18 days,292.0,5atm,5.0,android,False,1,87,False,False,tpu,purple,37.0,1 year,in stock,3 hours,1,0,0,0,metal,46x38x15 mm,2022-05-01,18.0,3.5626338329764455
sw10045,ambrane stride pro amoled display,ambrane,2724.0,3454,21,730,4.7,1461,8416,1.3,tft,382x409 pixels,14 days,329.0,ip67,5.0,android,False,0,92,False,False,metal,gold,43.0,2 year,in stock,2 hours,0,0,1,1,fiber,49x42x13 mm,2022-03-01,14.0,5.760438056125941
sw10046,amazfit gtr ultra weather display,amazfit,10290.0,15540,33,5250,3.8,27721,19995,1.6,amoled,425x359 pixels,11 days,490.0,ip68,5.2,ios,False,1,114,False,False,silicone,pink,71.0,2 year,in stock,3 hours,0,1,1,1,fiber,49x41x10 mm,2022-03-01,11.0,0.7212943256015295
sw10047,sonata smart lite bluetooth calling,sonata,2164.0,2607,16,443,3.9,35265,5403,1.2,lcd,411x324 pixels,16 days,400.0,ip68,5.0,ios,False,1,94,False,False,silicone,gold,69.0,1 year,out of stock,2 hours,1,0,1,0,metal,50x44x13 mm,2023-05-01,16.0,0.15321139940450873
sw10048,noise colorfit icon ultra sports modes,noise,2086.0,2607,19,521,4.5,47785,10416,1.2,tft,415x368 pixels,12 days,237.0,3atm,5.0,android,False,0,77,False,False,silicone,purple,77.0,2 year,out of stock,1 hours,1,0,0,0,metal,43x41x10 mm,2024-10-01,12.0,0.2179763524118447
sw10049,realme watch ultra water resistance,realme,2138.0,2468,13,330,4.0,20606,11952,1.2,lcd,388x329 pixels,17 days,473.0,5atm,5.0,android  ios,False,0,80,False,False,polycarbonate,black,63.0,1 year,in stock,2 hours,1,0,0,0,fiber,42x42x11 mm,2023-12-01,17.0,0.5800252353683393
sw10050,samsung gear sport female health tracking,samsung,16619.0,27172,38,10553,4.5,46612,15779,1.8,oled,426x339 pixels,12 days,385.0,ip68,5.2,android  ios,False,0,89,False,False,polycarbonate,pink,52.0,2 year,out of stock,1 hours,0,1,0,0,metal,44x41x10 mm,2024-07-01,12.0,0.33851797820303786
sw10051,boat wave plus bluetooth calling,boat,6161.0,8961,31,2800,4.4,47231,3330,1.2,tft,336x379 pixels,21 days,255.0,water resistant,5.0,ios,False,0,73,False,False,metal,blue,52.0,1 year,out of stock,3 hours,0,0,1,0,plastic,43x39x13 mm,2024-02-01,21.0,0.07050454150875485
sw10052,boat storm spo2 monitor,boat,2244.0,3189,29,945,4.2,18230,19752,1.4,lcd,325x449 pixels,12 days,255.0,3atm,5.0,android  ios,False,0,54,False,False,tpu,pink,56.0,2 year,out of stock,2 hours,0,0,0,0,fiber,48x41x12 mm,2024-12-01,12.0,1.0834887547997807
sw10053,titan smart 4 sleep tracking,titan,4346.0,7721,43,3375,4.0,44823,17226,1.3,lcd,368x376 pixels,9 days,435.0,water resistant,5.0,android  ios,False,0,87,False,False,metal,green,49.0,1 year,in stock,3 hours,0,0,1,1,metal,50x35x13 mm,2024-11-01,9.0,0.3843116257278629
sw10054,huami amazfit bip 3 bluetooth calling,huami,7749.0,11342,31,3593,4.5,3327,19800,1.3,tft,330x374 pixels,11 days,561.0,3atm,5.0,ios,False,0,78,False,False,silicone,silver,45.0,2 year,out of stock,2 hours,0,0,1,0,metal,45x36x11 mm,2024-08-01,11.0,5.951307484220018
sw10055,amazfit bip 4 weather display,amazfit,6240.0,9191,32,2951,4.2,18549,10609,1.4,lcd,329x415 pixels,19 days,281.0,ip67,5.0,android,False,0,100,False,False,polycarbonate,gold,54.0,1 year,in stock,3 hours,1,0,1,1,plastic,40x36x13 mm,2023-08-01,19.0,0.5719445792225996
sw10056,samsung galaxy watch max camera control,samsung,13913.0,20745,32,6832,4.3,48561,692,1.8,amoled,340x327 pixels,14 days,463.0,water resistant,5.2,android,False,0,105,False,False,leather,gold,41.0,2 year,out of stock,1 hours,0,1,1,0,fiber,47x35x13 mm,2022-08-01,14.0,0.014250118407775788
sw10057,xiaomi mi band ultra gps navigation,xiaomi,4981.0,7306,31,2325,4.1,25095,17469,1.3,tft,436x329 pixels,20 days,464.0,3atm,5.0,android,False,0,84,False,False,silicone,silver,76.0,2 year,in stock,1 hours,1,0,1,1,metal,41x39x11 mm,2023-08-01,20.0,0.6961147638971906
sw10058,boat call lite bluetooth calling,boat,2147.0,3859,44,1712,4.6,20458,9065,1.4,lcd,371x372 pixels,11 days,358.0,3atm,5.0,android,False,0,74,False,False,silicone,blue,54.0,2 year,in stock,2 hours,1,0,1,0,fiber,50x38x10 mm,2023-03-01,11.0,0.4431029426141363
sw10059,ambrane curve max stress monitoring,ambrane,3630.0,4999,27,1369,3.8,19110,8656,1.3,tft,424x330 pixels,9 days,222.0,ip68,5.0,ios,False,0,62,False,False,silicone,blue,50.0,1 year,out of stock,1 hours,0,0,0,0,plastic,41x38x11 mm,2022-12-01,9.0,0.4529565672422815
sw10060,huami amazfit gts spo2 monitor,huami,5730.0,7755,26,2025,3.9,39545,10141,1.3,lcd,415x377 pixels,21 days,311.0,5atm,5.0,android  ios,False,1,77,False,False,silicone,pink,58.0,1 year,out of stock,3 hours,0,0,1,1,plastic,50x39x10 mm,2024-09-01,21.0,0.2564420280692882
sw10061,sonata essence gps navigation,sonata,1407.0,1814,22,407,3.9,29179,4529,1.3,lcd,327x414 pixels,19 days,525.0,ip67,5.0,android,False,1,51,False,False,nylon,silver,36.0,1 year,out of stock,2 hours,1,0,0,1,plastic,40x42x13 mm,2023-02-01,19.0,0.15521436649645293
sw10062,boat flash 4 sports modes,boat,2117.0,2903,27,786,4.7,46524,2155,1.3,lcd,441x370 pixels,9 days,208.0,water resistant,5.0,ios,False,1,50,False,False,silicone,brown,57.0,2 year,in stock,2 hours,0,0,0,1,metal,43x43x12 mm,2022-02-01,9.0,0.04632017883243057
sw10063,huami amazfit bip gps navigation,huami,5826.0,8853,34,3027,4.7,20819,17397,1.2,tft,344x427 pixels,19 days,419.0,ip68,5.0,android  ios,False,0,82,False,False,silicone,gold,71.0,1 year,out of stock,2 hours,1,0,1,0,plastic,41x35x10 mm,2024-06-01,19.0,0.8356309140688793
sw10064,boult bolt ultra water resistance,boult,4892.0,6460,24,1568,4.8,34314,8991,1.3,lcd,449x391 pixels,15 days,350.0,3atm,5.0,android  ios,False,1,60,False,False,silicone,silver,38.0,1 year,in stock,1 hours,1,0,0,0,fiber,44x37x12 mm,2024-07-01,15.0,0.26202133240076936
sw10065,titan smart ultra camera control,titan,6625.0,11087,40,4462,4.4,42629,5029,1.2,lcd,445x425 pixels,11 days,262.0,ip68,5.0,android,False,1,70,False,False,leather,pink,45.0,1 year,in stock,1 hours,1,0,1,1,plastic,49x37x15 mm,2022-05-01,11.0,0.11797133406835722
sw10066,samsung galaxy fit pro heart rate monitor,samsung,9774.0,12568,22,2794,4.6,25605,15226,1.6,oled,445x413 pixels,12 days,274.0,ip67,5.2,ios,False,1,85,False,False,leather,black,78.0,2 year,out of stock,3 hours,0,0,0,0,fiber,47x40x15 mm,2022-04-01,12.0,0.5946494825229447
sw10067,crossbeats ignite pro spo2 monitor,crossbeats,6903.0,8124,15,1221,4.0,2272,14454,1.3,lcd,409x391 pixels,8 days,401.0,water resistant,5.0,ios,False,0,67,False,False,polycarbonate,silver,64.0,2 year,in stock,2 hours,0,0,0,1,fiber,40x43x10 mm,2022-06-01,8.0,6.361795774647887
sw10068,sonata essence max bluetooth calling,sonata,2460.0,3891,36,1431,4.6,48209,9884,1.3,tft,432x331 pixels,19 days,397.0,5atm,5.0,ios,False,1,78,False,False,polycarbonate,blue,49.0,2 year,in stock,1 hours,1,0,1,1,metal,47x36x12 mm,2023-09-01,19.0,0.2050239581820822
sw10069,fireboltt armor 2 sports modes,fireboltt,4827.0,7846,38,3019,4.5,24823,18647,1.4,lcd,325x413 pixels,15 days,480.0,3atm,5.0,android,False,0,94,False,False,metal,red,32.0,2 year,in stock,1 hours,1,0,0,0,fiber,41x44x14 mm,2022-07-01,15.0,0.7511984852757523
sw10070,oneplus band ultra gps navigation,oneplus,11068.0,14268,22,3200,4.1,30238,19599,1.6,amoled,364x428 pixels,14 days,453.0,ip68,5.2,android  ios,False,0,80,False,False,metal,pink,47.0,2 year,in stock,2 hours,0,0,0,1,fiber,45x39x14 mm,2022-07-01,14.0,0.6481579469541636
sw10071,fastrack reflex 4 bluetooth calling,fastrack,3806.0,6155,38,2349,3.8,4662,17680,1.2,tft,427x343 pixels,9 days,564.0,5atm,5.0,ios,False,1,94,False,False,nylon,black,38.0,2 year,out of stock,1 hours,1,0,1,0,fiber,47x42x13 mm,2024-01-01,9.0,3.7923637923637923
sw10072,samsung gear sport plus bluetooth calling,samsung,25704.0,32237,20,6533,4.5,42092,1831,2.2,amoled,375x425 pixels,6 days,270.0,water resistant,5.3,ios,False,1,109,False,False,tpu,pink,70.0,1 year,in stock,3 hours,1,1,1,1,metal,46x39x13 mm,2023-12-01,6.0,0.043499952485032786
sw10073,fitbit charge lite music control,fitbit,16128.0,22836,29,6708,4.1,46464,14120,1.8,oled,449x362 pixels,11 days,346.0,ip67,5.2,android  ios,False,1,87,False,False,tpu,red,33.0,2 year,out of stock,3 hours,0,0,0,1,fiber,45x37x15 mm,2023-12-01,11.0,0.30389118457300274
sw10074,fireboltt armor pro sleep tracking,fireboltt,6030.0,10346,41,4316,4.1,9755,10518,1.4,lcd,388x372 pixels,9 days,241.0,ip68,5.0,android  ios,False,1,100,False,False,polycarbonate,green,50.0,2 year,in stock,3 hours,1,0,0,0,metal,40x44x10 mm,2022-01-01,9.0,1.078216299333675
sw10075,fitbit charge max weather display,fitbit,14518.0,19455,25,4937,4.3,33754,5807,1.8,amoled,445x373 pixels,7 days,505.0,water resistant,5.2,android,False,0,108,False,False,silicone,pink,74.0,1 year,out of stock,3 hours,0,0,1,1,fiber,45x43x10 mm,2022-12-01,7.0,0.1720388694673224
sw10076,oneplus watch 4 stress monitoring,oneplus,12582.0,16045,21,3463,4.8,47599,18715,1.8,oled,364x385 pixels,7 days,544.0,ip67,5.2,ios,False,1,108,False,False,leather,brown,70.0,2 year,out of stock,3 hours,1,1,0,0,plastic,40x39x15 mm,2023-04-01,7.0,0.39318052900271017
sw10077,boat call 2 bluetooth calling,boat,3322.0,3975,16,653,4.5,27902,5839,1.2,lcd,406x366 pixels,21 days,239.0,ip68,5.0,android  ios,False,1,64,False,False,leather,pink,48.0,1 year,in stock,2 hours,1,0,0,0,fiber,43x41x13 mm,2023-02-01,21.0,0.20926815282058633
sw10078,titan juxt lite water resistance,titan,5269.0,6923,23,1654,4.2,26338,3410,1.4,tft,369x375 pixels,20 days,423.0,ip67,5.0,android,False,1,60,False,False,silicone,pink,65.0,2 year,in stock,1 hours,1,0,0,0,plastic,44x39x13 mm,2022-05-01,20.0,0.12947072670665957
sw10079,garmin venu notification alerts,garmin,23066.0,37144,37,14078,4.2,33579,7306,1.8,amoled,325x325 pixels,7 days,445.0,3atm,5.3,android,False,1,112,False,False,metal,pink,39.0,2 year,out of stock,1 hours,1,1,1,1,metal,42x39x14 mm,2023-11-01,7.0,0.2175764614789005
sw10080,fitbit versa 3 sports modes,fitbit,21665.0,28724,24,7059,4.4,42902,2404,1.8,amoled,401x417 pixels,5 days,550.0,water resistant,5.3,ios,False,1,101,False,False,silicone,gold,64.0,1 year,out of stock,2 hours,0,1,0,0,plastic,50x35x14 mm,2022-07-01,5.0,0.05603468369772971
sw10081,fastrack revolt ultra heart rate monitor,fastrack,2097.0,3442,39,1345,4.0,6426,8978,1.4,lcd,329x360 pixels,11 days,275.0,ip67,5.0,android,False,1,93,False,False,tpu,pink,74.0,1 year,out of stock,2 hours,1,0,0,1,plastic,49x39x11 mm,2022-03-01,11.0,1.3971366324307501
sw10082,oneplus band ultra heart rate monitor,oneplus,9792.0,16026,38,6234,4.4,6890,16171,1.6,amoled,345x390 pixels,14 days,243.0,3atm,5.2,android,False,0,88,False,False,nylon,brown,69.0,1 year,out of stock,2 hours,1,0,0,0,fiber,43x44x12 mm,2022-01-01,14.0,2.3470246734397677
sw10083,crossbeats elevate 4 spo2 monitor,crossbeats,5925.0,6938,14,1013,4.8,45812,1898,1.3,tft,412x433 pixels,16 days,243.0,ip68,5.0,android  ios,False,1,65,False,False,tpu,pink,33.0,1 year,in stock,2 hours,0,0,1,1,metal,46x44x11 mm,2024-12-01,16.0,0.041430192962542564
sw10084,oneplus watch lite notification alerts,oneplus,10273.0,12229,15,1956,4.6,22862,10826,1.8,amoled,423x406 pixels,12 days,582.0,5atm,5.2,android  ios,False,1,117,False,False,polycarbonate,gold,50.0,1 year,out of stock,3 hours,1,1,1,0,metal,46x43x13 mm,2022-06-01,12.0,0.47353687341439943
sw10085,huami amazfit gts 3 gps navigation,huami,3289.0,5175,36,1886,4.6,22792,3023,1.3,lcd,403x447 pixels,13 days,322.0,water resistant,5.0,ios,False,0,56,False,False,metal,brown,74.0,1 year,out of stock,2 hours,1,0,0,0,plastic,48x35x12 mm,2024-08-01,13.0,0.13263425763425762
